timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664828524,470,Products Request,200,OK,Products 2-1,text,true,,45094,181,2,7,https://dummyjson.com/products,462,0,370
1782664828524,470,Api Request,200,OK,Public API 3-1,text,true,,28652,193,2,7,https://jsonplaceholder.typicode.com/posts,462,0,370
1782664828524,542,Login Request,200,OK,Login Users 1-1,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,542,0,410
1782664828996,92,Api Request,200,OK,Public API 3-1,text,true,,28652,193,2,7,https://jsonplaceholder.typicode.com/posts,83,0,0
1782664828996,95,Products Request,200,OK,Products 2-1,text,true,,45100,181,2,7,https://dummyjson.com/products,79,0,0
1782664829088,92,Api Request,200,OK,Public API 3-1,text,true,,28652,193,2,8,https://jsonplaceholder.typicode.com/posts,84,0,0
1782664829091,98,Products Request,200,OK,Products 2-1,text,true,,45094,181,2,7,https://dummyjson.com/products,83,0,0
1782664828940,260,Api Request,200,OK,Public API 3-2,text,true,,28652,193,1,7,https://jsonplaceholder.typicode.com/posts,251,0,169
1782664829066,137,Login Request,200,OK,Login Users 1-1,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,137,0,0
1782664828941,267,Products Request,200,OK,Products 2-2,text,true,,45096,181,2,7,https://dummyjson.com/products,254,0,171
1782664828524,691,Login Request,200,OK,Shopping 4-1,text,true,,2818,290,2,7,https://dummyjson.com/auth/login,691,0,370
1782664829190,96,Products Request,200,OK,Products 2-1,text,true,,45102,181,2,7,https://dummyjson.com/products,82,0,0
1782664829200,91,Api Request,200,OK,Public API 3-2,text,true,,28652,193,1,7,https://jsonplaceholder.typicode.com/posts,80,0,0
1782664829208,99,Products Request,200,OK,Products 2-2,text,true,,45098,181,2,7,https://dummyjson.com/products,82,0,0
1782664829238,89,Products Request,200,OK,Shopping 4-1,text,true,,45098,565,2,7,https://dummyjson.com/products,75,0,0
1782664829203,135,Login Request,200,OK,Login Users 1-1,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,135,0,0
1782664828941,408,Login Request,200,OK,Login Users 1-2,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,408,0,277
1782664829287,98,Products Request,200,OK,Products 2-1,text,true,,45100,181,2,7,https://dummyjson.com/products,82,0,0
1782664829291,94,Api Request,200,OK,Public API 3-2,text,true,,28652,193,1,6,https://jsonplaceholder.typicode.com/posts,85,0,0
1782664829307,99,Products Request,200,OK,Products 2-2,text,true,,45102,181,1,5,https://dummyjson.com/products,83,0,0
1782664829339,132,Login Request,200,OK,Login Users 1-1,text,true,,5249,259,3,8,https://quickpizza.grafana.com/login,132,0,0
1782664829350,134,Login Request,200,OK,Login Users 1-2,text,true,,5249,259,3,8,https://quickpizza.grafana.com/login,134,0,0
1782664829407,100,Products Request,200,OK,Products 2-2,text,true,,45098,181,2,8,https://dummyjson.com/products,84,0,0
1782664829108,484,Login Request,200,OK,Shopping 4-2,text,true,,2812,290,2,8,https://dummyjson.com/auth/login,484,0,165
1782664829471,130,Login Request,200,OK,Login Users 1-1,text,true,,5249,259,3,8,https://quickpizza.grafana.com/login,130,0,0
1782664829507,99,Products Request,200,OK,Products 2-2,text,true,,45098,181,2,7,https://dummyjson.com/products,83,0,0
1782664829484,135,Login Request,200,OK,Login Users 1-2,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,135,0,0
1782664829329,312,Cart Request,201,Created,Shopping 4-1,text,true,,1309,310,2,6,https://dummyjson.com/carts/add,312,0,0
1782664829593,93,Products Request,200,OK,Shopping 4-2,text,true,,45096,565,2,6,https://dummyjson.com/products,79,0,0
1782664829438,254,Api Request,200,OK,Public API 3-3,text,true,,28652,193,1,6,https://jsonplaceholder.typicode.com/posts,246,0,162
1782664829434,262,Products Request,200,OK,Products 2-3,text,true,,45104,181,1,6,https://dummyjson.com/products,250,0,164
1782664829619,135,Login Request,200,OK,Login Users 1-2,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,135,0,0
1782664829692,93,Api Request,200,OK,Public API 3-3,text,true,,28652,193,1,7,https://jsonplaceholder.typicode.com/posts,83,0,0
1782664829696,99,Products Request,200,OK,Products 2-3,text,true,,45096,181,1,7,https://dummyjson.com/products,84,0,0
